arm,domain,problem_index,seed,reprompt_template,reference_mode,fewshot_option,judge,name,state,pass_rate_delta,post_mean_score,post_pass_rate,pre_mean_score,pre_pass_rate
?,,,,,,,,kickoff-Qwen2.5-1.5B-Instruct-3prob,finished,,,,,
?,,,42.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,kickoff-Qwen2.5-1.5B-Instruct-3prob,finished,,,,,
?,,,,,,,,feedback-Qwen2.5-1.5B-Instruct-3prob,finished,,,,,
?,,,42.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,feedback-Qwen2.5-1.5B-Instruct-3prob,finished,,,,,
SF,,0.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen2.5-1.5B-Instruct-idx0-15step,finished,-0.125,0.0,0.0,0.1375,0.125
SF,,0.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen2.5-1.5B-Instruct-idx0-15step-hybrid,finished,-0.125,0.0,0.0,0.1375,0.125
SF,,0.0,0.0,,,,,discovery-Qwen3.5-4B-idx0-15step-hybrid,failed,,,,,
SF,,0.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx0-15step-hybrid,crashed,,,,,
SF,,0.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx0-15step-hybrid,crashed,,,,,
SF,,23.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx23-15step-hybrid,finished,0.25,0.89375,0.8125,0.846875,0.5625
SF,,23.0,0.0,,,,,discovery-Qwen3-4B-idx23-15step-hybrid,killed,,,,,
SF,,23.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx23-15step-hybrid,crashed,,,,,
SF,,23.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx23-15step-hybrid,finished,0.0,0.7046875,0.5625,0.846875,0.5625
SF,,23.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx23-5step-hybrid,crashed,,,,,
SF,,23.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx23-5step-hybrid,killed,,,,,
SF,,23.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx23-1step-hybrid,finished,0.0,1.0,1.0,1.0,1.0
SF,,36.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx36-5step-hybrid,finished,0.0,1.0,1.0,1.0,1.0
SF,,19.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx19-15step-hybrid,finished,0.25,0.9671875,0.625,0.8609375,0.375
